id,Clicked
2200,0
2201,1
2202,1
2203,0
2204,0
2205,1
2206,1
2207,0
2208,1
2209,0
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,1
2218,0
2219,0
2220,0
2221,1
2222,1
2223,0
2224,0
2225,1
2226,1
2227,1
2228,1
2229,1
2230,0
2231,1
2232,0
2233,1
2234,1
2235,0
2236,0
2237,1
2238,0
2239,1
2240,0
2241,1
2242,0
2243,1
2244,0
2245,1
2246,0
2247,0
2248,1
2249,0
2250,1
2251,0
2252,0
2253,0
2254,1
2255,1
2256,1
2257,0
2258,0
2259,1
2260,1
2261,0
2262,0
2263,0
2264,1
2265,1
2266,1
2267,0
2268,1
2269,1
2270,1
2271,1
2272,0
2273,0
2274,1
2275,1
2276,1
2277,1
2278,0
2279,1
2280,0
2281,0
2282,0
2283,0
2284,0
2285,1
2286,0
2287,1
2288,0
2289,0
2290,0
2291,1
2292,1
2293,1
2294,1
2295,1
2296,0
2297,1
2298,1
2299,1
2300,1
2301,1
2302,0
2303,1
2304,1
2305,1
2306,0
2307,1
2308,1
2309,0
2310,1
2311,0
2312,0
2313,0
2314,1
2315,0
2316,0
2317,1
2318,1
2319,1
2320,0
2321,0
2322,1
2323,0
2324,1
2325,1
2326,1
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,1
2334,0
2335,1
2336,0
2337,0
2338,0
2339,0
2340,1
2341,0
2342,0
2343,0
2344,0
2345,0
2346,1
2347,1
2348,0
2349,0
2350,0
2351,1
2352,1
2353,1
2354,0
2355,0
2356,0
2357,1
2358,0
2359,0
2360,0
2361,0
2362,1
2363,1
2364,0
2365,0
2366,1
2367,1
2368,1
2369,1
2370,1
2371,0
2372,1
2373,0
2374,0
2375,0
2376,1
2377,0
2378,1
2379,0
2380,1
2381,0
2382,1
2383,1
2384,1
2385,0
2386,1
2387,1
2388,1
2389,0
2390,0
2391,1
2392,1
2393,0
2394,0
2395,1
2396,1
2397,0
2398,0
2399,1
2400,1
2401,0
2402,1
2403,1
2404,0
2405,1
2406,1
2407,0
2408,0
2409,1
2410,1
2411,1
2412,0
2413,0
2414,1
2415,1
2416,0
2417,0
2418,0
2419,1
2420,0
2421,0
2422,1
2423,1
2424,1
2425,1
2426,0
2427,0
2428,1
2429,0
2430,0
2431,1
2432,1
2433,0
2434,0
2435,1
2436,0
2437,0
2438,1
2439,1
2440,1
2441,1
2442,0
2443,0
2444,1
2445,1
2446,1
2447,0
2448,0
2449,1
2450,0
2451,1
2452,0
2453,0
2454,0
2455,1
2456,0
2457,1
2458,0
2459,1
2460,1
2461,0
2462,0
2463,1
2464,1
2465,0
2466,1
2467,0
2468,0
2469,0
2470,1
2471,0
2472,1
2473,0
2474,1
2475,1
2476,1
2477,1
2478,1
2479,0
2480,0
2481,0
2482,0
2483,1
2484,1
2485,0
2486,1
2487,1
2488,0
2489,1
2490,0
2491,1
2492,0
2493,0
2494,1
2495,1
2496,0
2497,0
2498,0
2499,0
